npaid	compound_name	formula	origin_type	origin_genus	origin_species	original_reference_doi
NPA015850	Imbricaric acid	C23H28O7	Fungus	Cetraria	alskana	10.1016/0006-2952(76)90393-2
NPA015851	Benzyl acetate	C9H10O2	Bacterium	Streptomyces	sp. strain GWS-BW-H5	10.1002/cbdv.200590062
NPA015852	Polanrazine E	C17H21N3O4	Fungus	Phoma	lingam	10.1016/s0031-9422(01)00348-x
NPA015853	N-[2-(4-hydroxyphenyl)-2-oxoethyl]hexanamide	C14H19NO3	Bacterium	Cystobacter	ferrugineus strain Cb G35	10.1021/np1006789
NPA015854	Hypsiziprenol-B12	C60H114O9	Fungus	Hypsizygus	marmoreus	10.1021/jf980843y
NPA015855	Penikellide A	C21H24O6	Fungus	Penicillium	sp. MA-37	10.1016/j.phytol.2014.03.012
NPA015856	Mycochromenic acid	C17H18O6	Fungus	Penicillium	brevicompactum	10.1016/s0140-6736(46)90242-5
NPA015857	Not named	C20H31NO2S	Bacterium	Sorangium	cellulosum strain So ce90/B2	10.1021/np000629f
NPA015858	Cavipetin B	C28H38O8	Fungus	Boletinus	cavipes	10.1021/np030535g
NPA015859	(1aS)-7,8balpha-Dimethyl-7beta-(hydroxymethyl)-1,4,5abeta,6,7,8,8abeta,8b-octahydrocycloprop[4,5]indeno[5,6-c]furan-2-one	C15H20O3	Fungus	Lactarius	vellereus	10.1016/0031-9422(95)00775-x
NPA015860	Tridecaptin A1	C73H115N17O20	Bacterium	Paenibacillus	terrae NRRL B-30644	10.1002/cbic.201300595
NPA015861	Yersiniabactin	C21H27N3O4S3	Bacterium	Yersinia	enterocolitica H1852	10.1002/jlac.1995199510243
NPA015862	Aspergilol D	C22H20O7	Fungus	Aspergillus	versicolor	10.1016/j.tet.2015.10.038
NPA015863	Neopolyoxin C	C20H25N5O10	Bacterium	Streptomyces	cacaoi subsp. asoensis	10.1271/bbb1961.44.1709
NPA015864	3R,5R-Sonnerlactone	C14H18O5	Fungus	Unknown-fungus	sp. strain Zh6-B1	10.1016/j.bmcl.2010.04.036
NPA015865	Piperine	C17H19NO3	Fungus	Periconia	sp.	10.1038/ja.2011.27
NPA015866	N-nitroethylenediamine	C2H7N3O2	Fungus	Agaricus	silvaticus	10.1016/s0031-9422(00)91119-1
NPA015867	Annulohypoxylin	C19H26O6	Fungus	Annulohypoxylon	boveri var. microspora BCRC 34012	10.1002/hlca.201000368
NPA015868	Oospolactone	C11H10O3	Fungus	Oospora	astringenes	10.1248/cpb.14.363
NPA015869	Dragomabin	C37H51N5O6	Bacterium	Lyngbya	majuscula	10.1021/np0700772
NPA015870	Bacilysin	C12H18N2O5	Bacterium	Bacillus	subtillis	10.1042/bj1180563
NPA015871	1'-(2-phenyl-ethylene)-ditryptophenaline	C50H46N6O4	Fungus	Aspergillus	flavus MIT-M26	10.1021/np50111a008
NPA015872	NA22598 A	C20H38N8O7	Bacterium	Streptomyces	sp. NA22598	10.7164/antibiotics.50.712
NPA015873	Prototenellin B	C18H19NO4	Fungus	Beauveria	bassiana CBS110.25	10.1002/cbic.200700390
NPA015874	Dhilirolide L	C25H28O7	Fungus	Penicillium	purpurogenum	10.1021/jo4024039
NPA015875	methyl ganoderate J	C31H44O7	Fungus	Ganoderma	lucidum	10.1080/00021369.1985.10867324
NPA015876	Symplocin A	C56H86N8O14	Bacterium	Symploca	sp.	10.1021/np200861n
NPA015877	Astraeusin L	C30H50O3	Fungus	Astraeus	odoratus	10.1016/j.tet.2016.04.057
NPA015878	Guignardone M	C19H24O6	Fungus	Guignardia	sp.	10.1021/acs.jnatprod.5b00008
NPA015879	Violacein	C20H13N3O3	Bacterium	Chromobacterium	violaceum	10.1039/jr9580000755
NPA015880	Methiosetin	C19H27NO4	Fungus	Capnodium	sp.	10.1021/np200857y
NPA015881	Berkedrimane A	C22H33NO5	Fungus	Penicillium	solitum	10.1021/np200528n
NPA015882	Greensporone A	C19H21ClO6	Fungus	Halenospora	sp.	10.1021/np500497r
NPA015883	Cyanopeptolin SS	C40H63N9O17S2	Bacterium	Microcystis	sp., TAU strain IL-361	10.2216/i0031-8884-35-6s-111.1
NPA015884	2,4-Dichloronorlichexanthone	C14H8Cl2O5	Fungus	Pertusaria	spec. (lichen)	10.1016/0040-4020(78)88377-x
NPA015885	Not named	C16H18O6	Fungus	Aspergillus	duricaulis	10.1016/s0040-4039(00)85680-4
NPA015886	Saponaceol B	C46H69NO12	Fungus	Tricholoma	saponaceum	10.1248/cpb.52.886
NPA015887	(+)-applanatumol D	C17H16O8	Fungus	Ganoderma	applanatum	10.1016/j.tet.2016.06.019
NPA015888	Mycosubtilin D	C51H80N12O14	Bacterium	Bacillus	sp. SNA-60-367	10.7164/antibiotics.39.636
NPA015889	Fumisoquin B	C13H16N2O8S	Fungus	Aspergillus	fumigatus	10.1038/nchembio.2061
NPA015890	N-Acetyl-3,4-dihydroxy-L-phenylalanine	C11H13NO5	Bacterium	Streptomyces	akiyoshiensis	10.1021/np50122a021
NPA015891	Isocochlioquinone	C30H44O8	Fungus	Bipolaris	cynodontis	10.1271/bbb.58.1143
NPA015892	Chivosazole B	C48H69NO12	Bacterium	Sorangium	cellulosum, strain So ce192	10.1002/jlac.199719970814
NPA015893	Penilactone B	C26H26O11	Fungus	Penicillium	crustosum PRB-2	10.1016/j.tet.2012.09.038
NPA015894	Lachnumon B2	C10H10BrClO4	Fungus	Lachnum	papyraceum (Karst.) Karst	10.7164/antibiotics.48.149
NPA015895	Beauvenniatin F	C40H63N3O9	Fungus	Acremonium	sp. (strain BCC 2629)	10.1002/hlca.201100482
NPA015896	Cyclo-(L-Pro-L-Tyr-L-Pro-Val-)	C24H32N4O5	Bacterium	Lactobacillus	helveticus	10.1016/s0040-4039(00)79177-5
NPA015897	Khafrefungin	C33H56O9	Fungus	Unknown-fungus	sp.	10.1074/jbc.272.51.32709
NPA015898	Hydroxycyclochlorotine A	C24H31Cl2N5O8	Fungus	Penicillium	islandicum	10.1021/np800150m
NPA015899	Vibralactone C	C12H14O3	Fungus	Boreostereum	vibrans	10.1248/cpb.56.1286
NPA015900	Sesquicillin E	C29H42O6	Fungus	Albophoma	sp. FKI-1778	10.1038/ja.2005.50
NPA015901	Tricycloalternarene 1b	C21H32O4	Fungus	Alternaria	alternata	10.1016/s0031-9422(97)00278-1
NPA015902	713A	C23H28N2O8	Fungus	Unknown-fungus	sp. strain 713	10.1248/cpb.56.1189
NPA015903	Cyclo(D)-trans-4-OH-Pro-(D)-Phe	C14H16N2O3	Bacterium	Unknown-bacterium	(CECT5719)	10.1021/np030233e
NPA015904	1,9-dihydroxy-3-(hydroxymethyl)-10-methoxydibenzo[b,e]oxepine-6,11-dione	C16H12O7	Fungus	Aspergillus	versicolor	10.1016/s0040-4039(00)02154-7
NPA015905	Yaminterritrem B	C27H32O7	Fungus	Aspergillus	terreus	10.1021/acs.orglett.5b00739
NPA015906	Armochaetoglobin L	C32H35N3O3	Fungus	Chaetomium	globosum TW1-1	10.1002/ejoc.201403678
NPA015907	Lynamicin A	C22H15Cl2N3O2	Bacterium	Actinomyces	nPS12745	10.1021/np800286d
NPA015908	Fumonisin AK1	C31H55NO10	Fungus	Fusarium	proliferatum	10.1021/np50123a009
NPA015909	Citrinadin A	C35H52N4O6	Fungus	Penicillium	citrinum	10.1021/ol048900y
NPA015910	Frenolicin B	C18H16O6	Bacterium	Streptomyces	roseofulvus	10.7164/antibiotics.31.959
NPA015911	Butenolide 5	C15H16O4	Fungus	Favolaschia	tonkinensis BCC 18689	10.1021/np900777r
NPA015912	Disydonol A	C30H46O5	Fungus	Aspergillus	sp.	10.1016/j.bmcl.2011.12.083
NPA015913	Nigerloxin	C13H15NO5	Fungus	Aspergillus	niger CFR-W-105	10.7164/antibiotics.55.789
NPA015914	Meruliolactone	C15H18O2	Fungus	Merulius	tremellosus	10.1016/s0040-4039(00)76767-0
NPA015915	Cremimycin	C35H53NO9	Bacterium	Streptomyces	sp (MJ635-86F5)	10.7164/antibiotics.51.123
NPA015916	13-epi-dorrigocin A	C27H41NO8	Bacterium	Streptomyces	platensis NRRL18993	10.1021/ja043808i
NPA015917	12′-sulfoxythiocoraline	C48H56N10O13S6	Bacterium	Verrucosispora	sp.	10.1021/jo200661n
NPA015918	(±)-pestalachloride D	C21H20Cl2O5	Fungus	Pestalotiopsis	sp.	10.3390/md11041050
NPA015919	Atpenin A5	C15H21Cl2NO5	Bacterium	Streptomyces	sp.	10.7164/antibiotics.41.1769
NPA015920	3-acetyl-13-deoxyphomenone	C17H22O4	Fungus	Penicillium	sp. (strain BL27-2)	10.1021/np5005328
NPA015921	Echiguanine B	C10H14N6O2	Bacterium	Streptomyces	mI698-50F1 (FERMP-11563)	10.1021/np50077a014
NPA015922	Cytosporin B	C17H27ClO5	Fungus	Cytospora	sp.	10.7164/antibiotics.49.119
NPA015923	10-hydroxy-undeca-2,4,6,8-tetraynamide	C11H7NO2	Fungus	Mycena	viridimarginata	10.1007/bf00508730
NPA015924	(1S,2S)-3-oxo-2-(2Z-pentenyl)cyclopentane-1-butyric acid	C14H22O3	Fungus	Fusarium	oxysporum	10.1016/s0031-9422(98)00596-2
NPA015925	Chaetopenoid F	C12H16O3	Fungus	Chaetoconis	sp. FT087	10.1016/j.phytochem.2016.03.005
NPA015926	Xylaranol B	C15H28O3	Fungus	Xylaria	sp.	10.1002/hlca.200900296
NPA015927	Sch 49028	C20H30O4	Fungus	Phoma	sp. (ATCC 74077)	10.7164/antibiotics.46.554
NPA015928	Limazepine B2	C15H18N2O4	Bacterium	Micrococcus	sp ICBB 8177	10.1021/np800827w
NPA015929	Poricoic acid CM	C32H48O4	Fungus	Poria	cocos	10.1021/np0780001
NPA015930	Azanigerone A	C19H22O7	Fungus	Aspergillus	niger ATCC 1015	10.1016/j.chembiol.2012.07.004
NPA015931	Chejuenolide A	C23H33NO4	Bacterium	Hahella	chejuensis	10.1016/j.tetlet.2008.09.143
NPA015932	16α-hydroxy-24-methylene-3-oxolanost-8-en-21-oic acid	C31H48O4	Fungus	Daedalea	quercina	10.1016/s0031-9422(00)00130-8
NPA015933	Xylarenoic acid	C9H12O4	Fungus	Unknown-fungus	sp. PSU-A80	10.1248/cpb.55.1316
NPA015934	L-1,2,4-Triazole-3-alanine	C5H8N4O2	Bacterium	Streptomyces	kM-10329	10.7164/antibiotics.38.1110
NPA015935	(E)-5-hydroxy-8-methoxy-3-(1-pentenyl)isocoumarin	C15H16O4	Fungus	Pyrenula	sp.	10.1016/j.phytochem.2004.09.011
NPA015936	1-Formyl-4-methyl-7-isopropenylazulene	C15H16O	Fungus	Lactarius	deliciosus	10.1016/0031-9422(88)80597-1
NPA015937	Quinaldopeptin	C62H78N14O14	Bacterium	Streptoverticillium	album strain Q132-6	10.7164/antibiotics.43.796
NPA015938	Panglimycin A	C19H20O6	Bacterium	Streptomyces	sp. strain ICBB8230	10.1021/np0704102
NPA015939	(S*R*)-2-(1-Hydroxyethyl)-2-methyl-2,3-dihydro-1H-quinazolin-4-one	C11H14N2O2	Bacterium	Streptomyces	sp., GW2/577	10.1021/np0305425
NPA015940	2-hydroxyemodic acid	C15H8O8	Fungus	Penicillium	restrictum	10.1021/np5000704
NPA015941	Izumiphenazine B	C25H16N4O6	Bacterium	Streptomyces	sp. IFM 11204	10.1021/np100400t
NPA015942	Visoltricin	C13H18N2O2	Fungus	Fusarium	tricinctum	10.1021/jf00037a035
NPA015943	Paecilomycin G	C19H26O6	Fungus	Paecilomyces	sp. SC0924	10.1002/cjoc.201200406
NPA015944	Not named	C21H36O7	Bacterium	Streptomyces	globisporus	10.1016/j.tet.2004.04.006
NPA015945	Lactarotropone	C15H16O3	Fungus	Unknown-fungus	sp.	10.5281/zenodo.3541326
NPA015946	Not named	C20H16O7	Bacterium	Streptomyces	sp. strain P6417	10.7164/antibiotics.48.457
NPA015947	Benzopyranyl capriate	C27H40O5	Fungus	Monascus	purpureus MTCC 369	10.1080/14786419.2013.768990
NPA015948	Cruentaren A	C33H51NO8	Bacterium	Byssovorax	cruenta	10.1038/ja.2006.89
NPA015949	Epolactaene	C21H27NO6	Fungus	Penicillium	sp. 1689-P	10.1016/s1388-1981(01)00169-x
NPA015950	Eutypoid C	C17H14O5	Fungus	Penicillium	sp. strain KF620	10.1021/np100633k
NPA015951	Not named	C10H12O4	Fungus	Botryosphaeria	sp. SCSIO KcF6	10.1080/14786419.2015.1050670
NPA015952	Carbazoquinocin C	C20H23NO2	Bacterium	Streptomyces	violaceus 2448-SVT2	10.7164/antibiotics.48.326
NPA015953	Sporidesmin H	C18H20ClN3O4S2	Fungus	Pithomyces	chartarum	10.1039/p19780001476
NPA015954	(3S,4S)-3-hydroxytetradec-13-ene-1,3,4-tricarboxylic acid	C17H28O7	Fungus	Penicillium	solitum	10.1021/np200528n
NPA015955	Thailandepsin A	C23H37N3O6S3	Bacterium	Chromobacterium	violaceum	10.1021/np200324x
NPA015957	Trichopolyn II	C60H109N11O13	Fungus	Trichoderma	polysporum	10.1039/c39810000585
NPA015958	Daldinol	C22H18O4	Fungus	Daldinia	concentrica	10.24496/tennenyuki.37.0_409
NPA015959	Astellolide A	C26H30O8	Fungus	Aspergillus	variecolor	10.1016/s0040-4039(01)82862-8
NPA015960	2-Amino-3-oxophenoxazine-1-carboxylic acid	C13H8N2O4	Bacterium	Streptomyces	thioluteus	10.1021/jo01287a075
NPA015961	Demannosyl-A40926	C76H76Cl2N8O24	Bacterium	Nonomuraea	sp. ATCC 39727	10.7164/antibiotics.56.310
NPA015962	3β,11α-dihydroxy-7-oxo-5α-lanost-8,24E-dien-26-ol	C30H48O4	Fungus	Ganoderma	hainanense J. D. Zhao	10.1016/j.phytochem.2014.10.009
NPA015963	22-Deacetylyanuthone A	C22H32O4	Fungus	Aspergillus	niger	10.1021/jo0006831
NPA015964	2-Hydroxymethyl-3-methylcyclopent-2-enon	C7H10O2	Fungus	Unknown-fungus	sp. LRUB20	10.1021/np060148h
NPA015965	Harzianum A	C23H28O6	Fungus	Trichoderma	harzianum	10.1021/np50105a019
NPA015966	12-Hydroxy-6-epi-albrassitriol	C15H26O4	Fungus	Aspergillus	sp.	10.7164/antibiotics.49.593
NPA015967	Falconensin E	C23H25ClO7	Fungus	Emericella	falconensis NHL 2999	10.1248/cpb.44.2213
NPA015968	Pseudoalteromone A	C18H24O5	Bacterium	Pseudoalteromonas	sp. CGH2XX	10.1016/j.tetlet.2012.01.104
NPA015969	15-Hydroxy-3-epiisopetasol	C15H22O3	Fungus	Unknown-fungus	sp.	10.1016/j.phytochem.2010.01.015
NPA015970	Fomitellic acid C	C31H48O6	Fungus	Fomitella	fraxinea	10.1021/np970127a
NPA015971	Monodesacetylcephalosporin-P1	C31H48O7	Fungus	Cephalosporium	acremonium	10.1016/s0040-4020(01)82867-2
NPA015972	Salinixanthin	C61H92O9	Bacterium	Salinibacter	ruber	10.1021/np020125c
NPA015973	Peribysin B	C15H24O4	Fungus	Periconia	sp.	10.1039/b404459b
NPA015974	Ascotrichester B	C28H34O13	Fungus	Ascotricha	sp. ZJ-M-5	10.1016/j.tet.2016.06.062
NPA015975	Fusarnaphthoquinone B	C15H16O5	Fungus	Fusarium	sp PSU-F15	10.1021/np100282k
NPA015976	Huperxanthone B	C14H10O5	Fungus	Aspergillus	versicolor	10.1002/hlca.201400165
NPA015977	Paecilomycin C	C19H26O9	Fungus	Paecilomyces	sp. SC0924	10.1021/np900853n
NPA015978	Aeruginosol B	C30H50O5	Fungus	Stropharia	aeruginosa	10.1080/10286020600882254
NPA015979	Ganoboninone C	C29H40O8	Fungus	Ganoderma	boninense	10.1016/j.tet.2015.02.002
NPA015980	Brevione A	C27H34O4	Fungus	Penicillium	brevicompactum	10.1016/s0040-4039(00)00223-9
NPA015981	Strobilurin P	C26H32O7	Fungus	Mycena	galericulata	10.7164/antibiotics.53.297
NPA015982	11,11′-O,O-dimethyl-14′-deethyl-14′-methylelaiophylin	C55H90O18	Bacterium	Streptomyces	sp. ICBB 9297	10.1021/np4006794
NPA015983	Nigerapyrone D	C14H16O4	Fungus	Aspergillus	niger MA-132	10.1021/np200381u
NPA015984	Clostomicin A	C53H76Cl2O18	Bacterium	Micromonospora	echinospora	10.7164/antibiotics.39.1407
NPA015985	Malbranpyrrole B	C20H23NO3	Fungus	Saccharomyces	cerevisiae	10.1002/chem.200901556
NPA015986	Prototenellin F	C21H23NO5	Fungus	Beauveria	bassiana CBS110.25	10.1021/ja204200x
NPA015987	WF11605	C38H60O11	Fungus	Chaetomium	sp.	10.7164/antibiotics.45.704
NPA015988	Cyclo(L-Phe-L-Ala)	C12H14N2O2	Bacterium	Nocardiopsis	gilva YIM 90087	10.1021/jf400718w
NPA015989	Langkocycline A3	C49H66O19	Bacterium	Streptomyces	sp. Acta 3034	10.1038/ja.2013.53
NPA015990	Ganoboninone A	C29H38O8	Fungus	Ganoderma	boninense	10.1016/j.tet.2015.02.002
NPA015991	TMC-151 B	C41H74O15	Fungus	Gliocladium	catenulatum	10.1007/bf02489678
NPA015992	Rhizoxin Z1	C35H49NO9	Bacterium	Burkholderia	rhizoxina	10.1021/ja062953o
NPA015993	Chrysogeside C	C40H73NO9	Fungus	Penicillium	chrysogenum PXP-55	10.1021/np1008976
NPA015994	N-hydroxymethyl12-keto pretubulysin D	C36H53N5O7S	Bacterium	Cystobacter	sp. SBCb004	10.1016/j.chembiol.2010.01.016
NPA015995	Fornicatin B	C27H40O6	Fungus	Ganoderma	fornicatum	10.1016/j.tetlet.2004.02.056
NPA015996	12-epi-hapalindole E	C21H23ClN2	Bacterium	Hapalosiphon	welwitschii	10.1021/jo00226a009
NPA015997	Pyrrocidine A	C31H37NO4	Fungus	Unknown-fungus	sp., LL-Cyan426	10.1016/s0040-4039(02)00099-0
NPA015998	3,5-dimethyl-8-methoxy-3,4-dihydroisocoumarin	C12H14O3	Fungus	Cytospora	eucalypticola	10.1016/s0031-9422(02)00606-4
NPA015999	Rubrumazine A	C25H33N3O4	Fungus	Eurotium	rubrum MA-150	10.1021/np5007839
NPA016000	Not named	C23H31NO5	Fungus	Septoria	pistaciarum ATCC 22201	10.1021/np1000939
NPA016001	Maculalactone H	C34H30O6	Bacterium	Kyrtuthrix	maculans	10.1021/np970322p
NPA016002	Aspereline D	C44H78N10O11	Fungus	Trichoderma	asperellum	10.1021/np900190w
NPA016003	Platensimycin B3	C23H27NO5	Bacterium	Streptomyces	platensis	10.1039/b810113b
NPA016004	(+)-lanosta-7,9(11),24-triene-3beta,21-diol	C30H46O3	Fungus	Fomitopsis	pinicola	10.1016/s0031-9422(99)00349-0
NPA016005	Enokipodin E	C15H22O4	Fungus	Flammulina	velutipes	10.1016/j.foodchem.2011.11.117
NPA016006	Papyracillic acid C	C12H18O6	Fungus	Microsphaeropsis	sp. strain 7291	10.1002/ejoc.200700348
NPA016007	11-G-219d	C10H12O3	Fungus	Unknown-fungus	sp. LL-11G219	10.1016/s0040-4020(98)00792-3
NPA016008	6-aminopenicillanic acid	C8H12N2O3S	Fungus	Penicillium	chrysogenum	10.1098/rspb.1961.0046
NPA016009	Avicenniaene	C15H22O3	Fungus	Julella	avicenniae	10.1016/s1279-7960(06)75634-0
NPA016010	Tricycloalternarene 3b	C21H30O3	Fungus	Alternaria	alternata	10.1016/s0031-9422(97)00278-1
NPA016011	Elloxazinone B	C14H9N3O5	Bacterium	Streptomyces	griseus Acta 2871	10.1038/ja.2007.35
NPA016012	Muroxanthenone B	C17H14O6	Fungus	Gliomastix	murorum	10.1080/10286020.2014.980240
NPA016013	Diorcinol B	C19H24O5	Fungus	Aspergillus	versicolor ZLN-60	10.1038/ja.2013.40
NPA016014	ZG-1494α	C32H43NO4	Fungus	Penicillium	rubrum	10.7164/antibiotics.49.967
NPA016015	Lasiodipline D	C15H15N3O3S2	Fungus	Lasiodiplodia	pseudotheobromae F2	10.1016/j.phytochem.2014.01.003
NPA016016	Scytovirin	C66H91N19O24S	Bacterium	Scytonema	varium	10.1021/bi0205698
NPA016017	(9E,11Z)-13-Oxo-9,11-octadecadienoic acid	C18H30O3	Fungus	Gomphus	floccosus	10.1021/jf8008662
NPA016018	Isochaetominine	C22H18N4O4	Fungus	Aspergillus	fumigatus	10.1002/cbdv.201400317
NPA016019	Chaetocochin C	C33H36N6O6S4	Fungus	Chaetomium	cochliodes	10.1021/np0602970
NPA016020	Amythiamicin A	C50H51N15O8S6	Bacterium	Amycolatopsis	sp. MI481-42F4	10.7164/antibiotics.47.668
NPA016021	Peniazaphilone A	C25H29NO5	Fungus	Penicillium	sp. ZJ-27	10.1016/j.phytol.2016.10.010
NPA016022	Gliovirin	C20H20N2O8S2	Fungus	Trichoderma	sp. TPU199	10.1021/acs.jnatprod.5b00669
NPA016023	Platenolide I	C20H32O6	Bacterium	Streptomyces	platensis subsp. malvinus	10.7164/antibiotics.28.783
NPA016024	Mollicellin I	C21H22O6	Fungus	Chaetomium	brasiliense	10.1002/hlca.200890002
NPA016025	Elaiomycin D	C13H24N2O4	Bacterium	Streptomyces	sp. strain HKI0708	10.1021/np300329m
NPA016026	Reductiline	C16H20N2O3S	Bacterium	Streptomyces	orientalis	10.1016/s0040-4039(00)85765-2
NPA016027	Erinacine F	C25H36O6	Fungus	Hericium	erinaceum	10.1016/0040-4039(96)01687-5
NPA016028	P-Hydroxybenzamide	C7H7NO2	Bacterium	Streptomyces	tendae T√º 4042	10.1002/jobm.3620360105
NPA016029	Palmarumycin C1	C20H11ClO4	Fungus	Coniothyrium	sp.	10.1002/jlac.199419941108
NPA016030	Bafilomicin A2	C36H60O9	Bacterium	Streptomyces	griseus ssp. sulphurus	10.1016/s0040-4039(00)88394-x
NPA016031	(1S,3S)-austrocortirubin 8-O-β-D-gentiobioside	C28H36O17	Fungus	Dermocybe	splendida	10.1071/ch99176
NPA016032	Gageostatin B	C53H95N7O14	Bacterium	Bacillus	sp. SNA-60-367	10.3390/md12020871
NPA016033	Albonoursin	C15H16N2O2	Bacterium	Streptomyces	albus var. fungatus	10.1016/s0040-4039(01)90934-7
NPA016034	7β,20,23ξ-trihydroxy-3,11,15-trioxolanosta-8-en-26-oic acid	C30H44O8	Fungus	Ganoderma	applanatum	10.1021/np030383p
NPA016035	Leutinacin	C9H11N5O4	Fungus	Lentinus	edodes	10.1007/bf01897467
NPA016036	Belactosin B	C18H31N3O7	Bacterium	Streptomyces	sp.	10.7164/antibiotics.53.81
NPA016037	Pyrronamycin A	C23H29N11O5	Bacterium	Streptomyces	sp.	10.7164/antibiotics.53.66
NPA016038	7-chloroscytalone	C10H9ClO4	Fungus	Tubercularia	sp. TF5	10.1002/hlca.201300101
NPA016039	Sterostrein M	C15H19NO2	Fungus	Stereum	ostrea BCC 22955 S	10.1016/j.phytochem.2012.04.009
NPA016040	Angumycinone A	C19H16O6	Bacterium	Streptomyces	sp. KMC004	10.1016/j.tetlet.2013.10.112
NPA016041	Ergosterimide	C32H45NO3	Fungus	Aspergillus	niger	10.1016/j.steroids.2007.05.009
NPA016042	TMC-151 C	C41H74O15	Fungus	Gliocladium	catenulatum	10.1007/bf02489678
NPA016043	Liposidomycin L-(I)	C44H71N5O21S	Bacterium	Streptomyces	sp. (SN-1061M)	10.7164/antibiotics.51.647
NPA016044	Palmaerin C	C11H10Br2O4	Fungus	Lachnum	palmae	10.3987/com-13-12707
NPA016045	3-Hydroxyterphenyllin	C20H18O6	Fungus	Aspergillus	candidus LINK strain CMI 16046	10.7164/antibiotics.32.559
NPA016046	JBIR-126	C24H30ClN5O7	Bacterium	Streptomyces	sp. NBRC 111228	10.1016/j.tetlet.2015.07.080
NPA016047	18-bromo-(5E,17Z)-octadeca-5,7-diene-15-ynoic acid methyl ester	C18H27BrO2	Fungus	Leptogium	saturninum	10.1016/s0031-9422(99)00034-5
NPA016048	Cystobactamid 919-1	C46H45N7O14	Bacterium	Cystobacter	sp. Cbv34	10.1002/anie.201409964
NPA016049	Pestalothiopsone D	C19H24O6	Fungus	Pestalotiopsis	sp.	10.1021/np800748u
NPA016050	(+)-applanatumol Q	C17H22O7	Fungus	Ganoderma	applanatum	10.1016/j.tet.2016.06.019
NPA016051	Mycosphine A	C15H23NO3	Fungus	Mycosphaerella	sp.	10.1016/j.tetlet.2013.04.063
NPA016052	(−)-orthosporin	C12H12O5	Fungus	Ascotricha	sp. ZJ-M-5	10.1016/j.tet.2016.06.062
NPA016053	WS 79089C	C29H22O10	Bacterium	Streptosporangium	roseum. NO. 79089	10.7164/antibiotics.47.619
NPA016054	Cystargamide	C49H59N7O13	Bacterium	Kitasatospora	cystarginea	10.1021/np500122s
NPA016055	Epothilone F	C27H41NO7S	Bacterium	Sorangium	cellulosum	10.1021/np000629f
NPA016056	Aerucyclamide B	C24H32N6O4S2	Bacterium	Microcystis	aeruginosa PCC 7806	10.1021/np800118g
NPA016057	Paecilomycine C	C15H20O4	Fungus	Paecilomyces	tenuipes	10.1016/j.tetlet.2004.06.107
NPA016058	Trichoviridin	C8H9NO4	Fungus	Trichoderma	sp. TK-1	10.7164/antibiotics.28.161
NPA016059	Petchine	C10H7NO3	Fungus	Ganoderma	petchii	10.1016/j.fitote.2015.08.002
NPA016060	Nocardioazine A	C29H30N4O3	Bacterium	Nocardiopsis	sp. (CMB-M0232)	10.1021/ol200904v
NPA016061	Chrondamide 12D	C36H46N4O6	Bacterium	Chondromyces	sp. MSr9030	10.1002/cbic.201300140
NPA016062	1-demethylhyalodendrin tetrasulfide	C13H14N2O3S	Fungus	Verticillium	hemipterigenum BCC 1449	10.7164/antibiotics.56.647
NPA016063	Roselipin 3C	C40H70O14	Fungus	Clonostachys	candelabrum	10.1038/ja.2009.131
NPA016064	1-methoxy-1H-indol-3-ethanol	C11H13NO2	Fungus	Pestalotiopsis	podocarpi	10.1002/hlca.201200166
NPA016065	Alternaroside B	C42H77NO9	Fungus	Alternaria	raphani	10.1021/np9002299
NPA016066	Ochratoxin A	C20H18ClNO6	Fungus	Aspergillus	ochraceus	10.1039/jr9650007083
NPA016067	Phomolide C	C18H30O6	Fungus	Phomopsis	sp. B27	10.1016/s1875-5364(09)60032-7
NPA016068	Miuraenamide C	C34H42ClN3O7	Bacterium	Paraliomyxa	miuraensis strain SMH-27-4	10.1002/asia.200700233
NPA016069	Conioxanthone A	C16H12O7	Fungus	Coniochaeta	sp.	10.1021/np100071z
NPA016070	Fellutamide C	C27H51N5O7	Fungus	Penicillium	purpurogenum G59	10.1021/np2001573
NPA016071	Oxaloterpin C	C22H33NO4	Bacterium	Streptomyces	sp. KO-3988	10.1021/np070326m
NPA016072	Pradimicin-T1	C42H45NO23	Bacterium	Actinomyces	sp. strain AA3798	10.7164/antibiotics.46.598
NPA016073	BE-40644	C22H30O4	Bacterium	Actinoplanes	sp. A40644	10.7164/antibiotics.49.314
NPA016074	(1R,5R,5aS,9R,9aR,9bR)-1,9,9b-trihydroxy-6,6,9a-trimethyl-1,3,5,5a,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5-yl hexanoate	C21H34O6	Fungus	Aspergillus	sp. IBWF002-96	10.1016/j.bmc.2014.04.015
NPA016075	Vanchrobactin	C16H23N5O7	Bacterium	Vibrio	anguillarum	10.1016/j.tetlet.2006.07.104
NPA016076	Oidiolactone C	C16H18O5	Fungus	Oidiodendron	truncata	10.1021/np9804987
NPA016077	(E)-3,4,5-Trimethoxycinnamic alcohol	C12H16O4	Fungus	Suillus	luteus (L.) S. F. Gray	10.1002/cbdv.200890002
NPA016078	Sassafrin D	C27H32O8	Fungus	Creosphaeria	sassafras	10.1016/j.tet.2004.12.031
NPA016079	Glisoprenin D	C45H84O7	Fungus	Gliocladium	roseum (HA190-95)	10.7164/antibiotics.51.117
